name	short	t0set	num	nMapped	nPastEnd	nGenic	nUsed	gMed	gMedt0	gMean	cor12	mad12	mad12c	mad12c_t0	opcor	adjcor	gccor	maxFit	u
setATCH184	Upstate	11/16/20 DdiaME23	27	4007171	43509	2300169	2217322	426	591	589.556500930604	0.246159003497581	0.21562821507415	1	0.991779493195031	0.216863145759483	0.00641797666624181	-0.0323817346456828	3.18374985164147	TRUE
setATCH185	Upstate	11/16/20 DdiaME23	28	3662004	39986	2110432	2032944	399	591	540.532837011433	0.214168317576393	0.198377853954488	1.01508432753906	0.991779493195031	0.271518703788074	0.0718157668431794	-0.0869166217740071	1.72820625095211	TRUE
setATCH186	Upstate	11/16/20 DdiaME23	29	3074469	31514	1770688	1706938	328	591	453.852166976868	0.192849823988691	0.230609468268794	1.03952836418664	0.991779493195031	0.178104769910591	0.0139085264781657	-0.0569832600728666	1.52231783107461	TRUE
setATCH187	Upstate	11/16/20 DdiaME23	30	3344265	35072	1927493	1862314	366	591	495.164583887264	0.202591914347027	0.220778501340394	1.02509098096283	0.991779493195031	0.194230383891371	0.0541178024055753	-0.0807520138603169	1.5111744838281	TRUE
setATCH188	Upstate	11/16/20 DdiaME23	31	3036031	32575	1748704	1686103	325	591	448.312416910396	0.232809257093342	0.218983356272999	1.01122725542325	0.991779493195031	0.172891799898403	0.0621331686013206	-0.0138529462411801	1.65621248475373	TRUE
setATCH238	Time0	1/26/21 DdiaME23	32	4279510	47086	2481359	2415923	462	431	642.361871842595	0.0106587964757519	0.148831991041901	1	1	-0.0240108338693107	0.046760191323605	0.0499602397796755	0.923823808488054	FALSE
setATCH239	Time0	1/26/21 DdiaME23	33	4007158	44594	2324872	2262667	431	462	601.613134804573	0.0106587964757519	0.148831991041901	1	1	-0.0240108338693107	0.046760191323605	-0.0499602397796755	1.05878528404988	FALSE
setATCH240	LB	1/26/21 DdiaME23	34	2792480	29212	1623419	1567073	307	891	416.663919170433	0.133685165275523	0.157484952971876	1	1.00933786457934	0.195774552106472	0.0134024175576905	-0.00220418331874788	1.42946487770699	TRUE
setATCH241	LB	1/26/21 DdiaME23	35	3214462	33777	1866185	1801283	350	891	478.937250731188	0.144646550614794	0.158830128939886	1.00823615009976	1.00933786457934	0.163826937875245	0.0179382447847878	-0.0265384443956422	0.761137498444923	TRUE
setATCH242	LB	1/26/21 DdiaME23	36	2585046	27117	1501533	1449648	281	891	385.442169635735	0.172893129027763	0.159837247553031	1.01667874114663	1.00933786457934	0.173926231431164	0.0643396920526112	0.0142467530872761	0.759169563638035	TRUE
setATCH243	PDB	1/26/21 DdiaME23	37	3244989	32527	1876606	1810901	356	891	481.494549321989	0.218918273545472	0.163356091251107	1.01435529297707	1.00933786457934	0.110169269571094	0.0687208101866457	-8.73210484980269e-05	1.05536065030031	TRUE
setATCH244	PDB	1/26/21 DdiaME23	38	3391986	33636	1960708	1892590	369	891	503.214570592927	0.216870668464899	0.158715189587494	1.01482741767764	1.00933786457934	0.211755465785954	0.0561290868170729	0.013500024187197	0.83526519074003	TRUE
setATCH245	PDB	1/26/21 DdiaME23	39	3339316	34058	1933202	1863087	366	891	495.370114331295	0.237012972784779	0.163226254116285	1.02213897726925	1.00933786457934	0.163210434237414	0.0169251633242801	0.0365460178259697	1.32667214954999	TRUE
setATCH246	M9	1/26/21 DdiaME23	40	4110158	44772	2373501	2287015	438	891	608.086944961446	0.295945943900515	0.160481465263901	1.02407413497886	1.00933786457934	0.254911555568934	0.0342296222612135	-0.0835048191416256	1.58852355394168	TRUE
setATCH247	M9	1/26/21 DdiaME23	41	3715607	40480	2146136	2068612	399	891	550.0164849774	0.317765093910801	0.159765350991804	0.999999999999999	1.00933786457934	0.283689842020366	0.0735608209284212	-0.0813596140914919	1.64067505392364	TRUE
setATCH248	M9	1/26/21 DdiaME23	42	3739255	39802	2161891	2084343	400	891	554.199149162457	0.331367414874858	0.15669021431306	1.01137478986466	1.00933786457934	0.308733087439607	0.016192014377858	-0.0621602672967725	1.76283270216914	TRUE
