locusId	sysName	desc	comb	setATCH264 M9
HER17_RS14035	HER17_RS14035	MCP four helix bundle domain-containing protein	HER17_RS14035 MCP four helix bundle domain-containing protein	-0.0289483092853073
HER17_RS14040	HER17_RS14040	putrescine aminotransferase	HER17_RS14040 putrescine aminotransferase	-0.0169391211787466
HER17_RS14045	HER17_RS14045	aminobutyraldehyde dehydrogenase	HER17_RS14045 aminobutyraldehyde dehydrogenase	-0.121565799433825
HER17_RS14055	HER17_RS14055	sigma-70 family RNA polymerase sigma factor	HER17_RS14055 sigma-70 family RNA polymerase sigma factor	-0.166506838144293
HER17_RS14060	HER17_RS14060	FecR domain-containing protein	HER17_RS14060 FecR domain-containing protein	0.141464989399249
HER17_RS14065	HER17_RS14065	TonB-dependent receptor	HER17_RS14065 TonB-dependent receptor	0.00152319989168181
HER17_RS14070	HER17_RS14070	heme acquisition protein HasA	HER17_RS14070 heme acquisition protein HasA	-0.363015652672524
HER17_RS14075	HER17_RS14075	type I secretion system permease/ATPase	HER17_RS14075 type I secretion system permease/ATPase	-0.1744215347179
HER17_RS14080	HER17_RS14080	HlyD family type I secretion periplasmic adaptor subunit	HER17_RS14080 HlyD family type I secretion periplasmic adaptor subunit	-0.220059260254747
HER17_RS14085	HER17_RS14085	TolC family outer membrane protein	HER17_RS14085 TolC family outer membrane protein	0.138277268152269
HER17_RS14090	HER17_RS14090	anaerobic C4-dicarboxylate transporter	HER17_RS14090 anaerobic C4-dicarboxylate transporter	0.323002516469429
HER17_RS14095	HER17_RS14095	aspartate/glutamate racemase family protein	HER17_RS14095 aspartate/glutamate racemase family protein	0.0181351620537729
HER17_RS14100	HER17_RS14100	D-cysteine desulfhydrase	HER17_RS14100 D-cysteine desulfhydrase	0.323520011902487
HER17_RS14105	HER17_RS14105	ABC transporter ATP-binding protein	HER17_RS14105 ABC transporter ATP-binding protein	0.0483902755147065
HER17_RS14110	HER17_RS14110	ABC transporter permease	HER17_RS14110 ABC transporter permease	0.341030553714882
HER17_RS14115	HER17_RS14115	ABC transporter substrate-binding protein	HER17_RS14115 ABC transporter substrate-binding protein	0.0521958310511815
HER17_RS14120	HER17_RS14120	malate/lactate/ureidoglycolate dehydrogenase	HER17_RS14120 malate/lactate/ureidoglycolate dehydrogenase	-0.00926985607830844
HER17_RS14125	HER17_RS14125	ABC transporter substrate-binding protein	HER17_RS14125 ABC transporter substrate-binding protein	0.18697859575687
