name	short	t0set	num	nMapped	nPastEnd	nGenic	nUsed	gMed	gMedt0	gMean	cor12	mad12	mad12c	mad12c_t0	opcor	adjcor	gccor	maxFit	u
setATCH273	Atlantic	1/26/21 PcWPP14	25	1234241	28224	704438	597245	108	280	164.711803640375	0.0023276814695119	0.439098766201135	1.0485843295035	0.812914447399504	0.0184408976693286	0.0416536293302898	-0.010612629399526	3.19557180172656	FALSE
setATCH274	Atlantic	1/26/21 PcWPP14	26	1359384	25570	724657	629458	89	280	173.595697738555	0.0681462222756666	0.456465898696661	1.0703893278914	0.812914447399504	0.0776010279605471	-0.0401290819259419	0.00658060462530198	2.22696983042558	FALSE
setATCH275	Norland	1/26/21 PcWPP14	27	1279459	19090	730901	634534	84	280	174.995587424159	0.0470961919041713	0.413436757649196	1.05123250229479	0.812914447399504	0.0620076927298297	-0.00845548696842932	0.0109630250965442	2.80525806270694	FALSE
setATCH276	Norland	1/26/21 PcWPP14	28	342091	7041	194624	164330	26	280	45.3199117484832	0.0128581966783636	0.473024818722023	1.01792190799726	0.812914447399504	0.0238663713702002	0.0525133105325526	-0.00356046198498941	4.42112107802894	FALSE
setATCH277	Norland	1/26/21 PcWPP14	29	649731	15515	377889	323573	57	280	89.2369001654716	0.0328788643320566	0.485030952272375	1.02856915219677	0.812914447399504	-0.00450805138023636	0.0183138268758327	0.0136942000118718	3.72561645997982	FALSE
setATCH278	Norland	1/26/21 PcWPP14	30	907720	16050	520869	447340	76	280	123.370104798676	0.0216926556253482	0.419576021569901	1	0.812914447399504	0.0426083337909214	-0.0142259695750045	-0.0103132288556357	3.91174415419117	FALSE
setATCH279	Norland	1/26/21 PcWPP14	31	588496	10726	340243	286979	50	280	79.1447876447876	0.0297438105890972	0.480425479592821	1	0.812914447399504	0.0755177956851323	0.000403183321606614	0.0004899551085827	3.08951848486126	FALSE
setATCH280	Norland	1/26/21 PcWPP14	32	891763	14286	522991	440625	72	280	121.518201875345	0.0142534250680313	0.487104047516465	1.07800251200127	0.812914447399504	0.0219348846213178	0.00401744114898394	0.00107980538633187	2.78924602760553	FALSE
setATCH281	Upstate	1/26/21 PcWPP14	33	1277096	18969	743130	632356	113	280	174.394925537783	0.011845990617403	0.534808111675442	1.10990370446246	0.812914447399504	0.064392493910287	-0.0662616818343681	0.0235904045366172	2.43294870210212	FALSE
setATCH282	Upstate	1/26/21 PcWPP14	34	1230869	18508	715767	608215	110	280	167.737175951462	-0.0155159253999856	0.542800019389435	1.14097463300845	0.812914447399504	0.0543761555509858	-0.090864328494811	0.0123738182289835	2.52722129688777	FALSE
setATCH283	Upstate	1/26/21 PcWPP14	35	1386140	19360	797891	692419	79.5	280	190.959459459459	0.0460324558942443	0.626867144064604	1.5405683813627	0.812914447399504	0.0021847286420674	0.0212273802130111	0.0381163672139931	3.88019536022353	FALSE
setATCH284	Upstate	1/26/21 PcWPP14	36	1125570	17454	646145	546583	100	280	150.739933811362	-0.0105541403642236	0.499799874781548	1.11547721741994	0.812914447399504	0.00774992616374115	0.00251872679474845	0.0359282804042543	2.35524226329671	FALSE
setATCH285	Upstate	1/26/21 PcWPP14	37	816428	14229	476650	405599	66	280	111.858521787093	-0.00520478628105906	0.516193699165933	1.13184741465095	0.812914447399504	0.0368985807481438	-0.0301877258721294	-0.0226396731460501	3.19806993300294	FALSE
setATCH286	Upstate	1/26/21 PcWPP14	38	1086085	18551	635131	535224	80	280	147.607280750138	0.0517614491691897	0.481651257936843	1.12150296266999	0.812914447399504	0.038742536745084	4.81313176832992e-05	-0.0350149177391665	4.57916078303121	FALSE
