name	short	t0set	num	nMapped	nPastEnd	nGenic	nUsed	gMed	gMedt0	gMean	cor12	mad12	mad12c	mad12c_t0	opcor	adjcor	gccor	maxFit	u
setATCH210	PDB	1/26/21 Ddia6719	11	2936326	6766	1745752	1651533	283.5	463	468.121598639456	0.255998676174239	0.270314712012949	1.35528780671048	1.3177023839845	0.27773097811677	0.0567237069930712	0.0879871142700488	2.30949021626687	TRUE
setATCH211	PDB	1/26/21 Ddia6719	12	2851623	6810	1689363	1598672	274	463	453.138321995465	0.254734194326451	0.266656909705104	1.38565369249775	1.3177023839845	0.211843864520013	0.0761666116049476	0.113058960371677	2.03712004774118	TRUE
setATCH212	PDB	1/26/21 Ddia6719	13	2156948	5190	1279102	1212188	208	463	343.590702947846	0.253321032976871	0.28313206564302	1.38211301548115	1.3177023839845	0.270300611903921	0.0409433199346772	0.0872995308032929	2.13557931886159	TRUE
setATCH213	PDB	1/26/21 Ddia6719	14	2972978	7220	1763620	1669624	289	463	473.249433106576	0.242133937604411	0.269939495038745	1.38289913818696	1.3177023839845	0.183027419861049	0.0136787796519515	0.0768548194368656	2.25714821946566	TRUE
setATCH214	M9	1/26/21 Ddia6719	15	3441938	8037	2073114	1964234	302	463	556.75566893424	0.238414169244054	0.32544256103353	1.40193992307396	1.3177023839845	0.191187679451739	0.0142389888496368	-0.0752977859236186	5.32439851844211	TRUE
setATCH215	M9	1/26/21 Ddia6719	16	2942413	7214	1769285	1677373	256.5	463	475.445861678005	0.214237807119871	0.317883478945922	1.38824697917642	1.3177023839845	0.217549916836831	0.0796277087783153	-0.0900799809047063	4.41956197221518	TRUE
setATCH216	M9	1/26/21 Ddia6719	17	2878270	6405	1732181	1642065	246	463	465.437925170068	0.254846490995505	0.270219636483703	1.38230463804066	1.3177023839845	0.258703275306246	0.0186685980424107	-0.108555062801694	4.00684224960354	TRUE
setATCH217	M9	1/26/21 Ddia6719	18	2689632	6305	1616571	1531414	238	463	434.074263038549	0.217351608705506	0.304499573167324	1.39525956707451	1.3177023839845	0.248600908269775	0.0315933960402743	-0.105137467535526	4.23114743022037	TRUE
setATCH218	M9	1/26/21 Ddia6719	19	1760493	4102	1054252	1000512	154	463	283.591836734694	0.190535088740657	0.351040399453285	1.4090153321092	1.3177023839845	0.241986451052508	0.0159681938262377	-0.0591193489991438	5.20739079404798	TRUE
setATCH219	M9	1/26/21 Ddia6719	20	2569330	5940	1529549	1450422	235	463	411.117346938775	0.193347007630699	0.301544653132385	1.39311581524593	1.3177023839845	0.249082367409065	0.00899658477352126	-0.105308152149431	4.18816346958715	TRUE
setATCH220	Atlantic	1/26/21 Ddia6719	21	2508630	4974	1493967	1420654	227	463	402.67970521542	0.165596673229444	0.29464277600137	1.39760417322713	1.3177023839845	0.211755203455895	-0.00760730686285781	-0.0661165598044606	5.91051856514006	TRUE
setATCH221	Atlantic	1/26/21 Ddia6719	22	2952900	7749	1740117	1654742	268	463	469.031179138322	0.15069892238165	0.374119765245273	1.4594316186373	1.3177023839845	0.189750802424607	0.0692601158237113	-0.080543954310909	5.9690263896399	TRUE
setATCH222	Atlantic	1/26/21 Ddia6719	23	2757046	5784	1627500	1544431	263	463	437.763888888889	0.110876448023603	0.447579079145368	1.4594316186373	1.3177023839845	0.103562359943397	0.0378073707546017	-0.0337345486635129	4.09755778836977	TRUE
setATCH223	Atlantic	1/26/21 Ddia6719	24	3088267	7223	1828037	1734380	291	463	491.604308390023	0.1160526106892	0.444431868232012	1.51391710409836	1.3177023839845	0.171123334177453	-0.0185904285007603	-0.0400294738123838	4.64158522053123	TRUE
setATCH224	Atlantic	1/26/21 Ddia6719	25	3266256	7667	1934998	1836056	306.5	463	520.424036281179	0.116705222884695	0.489165202158604	1.52015180085105	1.3177023839845	0.125888574761539	0.00575299391673748	-0.0055412412016431	3.49384716454023	TRUE
setATCH225	Atlantic	1/26/21 Ddia6719	26	2565325	5601	1503638	1431456	223	463	405.741496598639	0.234492305538737	0.268051272276027	1.43295940727611	1.3177023839845	0.280756423012803	0.0154198870611957	-0.078096601564216	6.14400657950391	TRUE
setATCH226	Norland	1/26/21 Ddia6719	27	2690368	5334	1594083	1513726	252	463	429.060657596372	0.167406455092982	0.281486115581703	1.41180429868269	1.3177023839845	0.205546601485246	-0.0363655603204117	-0.054817584191269	3.88902039223656	TRUE
setATCH227	Norland	1/26/21 Ddia6719	28	2787283	5761	1649566	1564903	262.5	463	443.566609977324	0.19726956253197	0.260137485086881	1.41305304817737	1.3177023839845	0.16306709607102	0.0412759664556266	-0.0505626653722969	4.53259461239797	TRUE
setATCH228	Norland	1/26/21 Ddia6719	29	2503572	5134	1468793	1397180	219	463	396.026077097506	0.185342647471349	0.300211873959444	1.44057259138598	1.3177023839845	0.183426865536678	0.0163059457645582	-0.0518340951380082	6.78191640023245	TRUE
setATCH229	Norland	1/26/21 Ddia6719	30	2504643	4915	1452379	1382348	224	463	391.821995464853	0.180408585693058	0.308556179527781	1.40725924449736	1.3177023839845	0.180034617586971	0.0192895297827394	-0.0850839601797998	5.78563084083585	TRUE
setATCH230	Norland	1/26/21 Ddia6719	31	2758261	5877	1630095	1548243	260	463	438.844387755102	0.203017891161809	0.253613752586008	1.40679973189871	1.3177023839845	0.195388463590111	0.0303232585068063	-0.0746005180579254	4.32301255308461	TRUE
setATCH231	Norland	1/26/21 Ddia6719	32	2849755	5677	1688844	1604068	271	463	454.667800453515	0.163582222701616	0.264194855058967	1.42663744782351	1.3177023839845	0.195923270037907	0.0457129917960617	-0.0561214936257575	3.59162250170528	TRUE
setATCH233	Upstate	1/26/21 Ddia6719	34	2989125	6543	1773995	1684995	282.5	463	477.606292517007	0.20186024374865	0.241072940412891	1.38565369249775	1.3177023839845	0.202642356529223	0.0155659910620755	-0.0835239403021512	3.8781962278098	TRUE
setATCH234	Upstate	1/26/21 Ddia6719	35	2878219	7164	1699709	1614054	269.5	463	457.498299319728	0.190734494879889	0.276739903301026	1.42106812756685	1.3177023839845	0.168452347009773	0.0127007203239322	-0.0796784641045712	4.30022204750922	TRUE
setATCH235	Upstate	1/26/21 Ddia6719	36	2781111	6671	1641245	1557572	260	463	441.488662131519	0.198542204980891	0.28050571463495	1.41503749927884	1.3177023839845	0.191075778077002	0.0394919643240235	-0.101880175891334	3.53363258850537	TRUE
setATCH236	Upstate	1/26/21 Ddia6719	37	2644661	5692	1564728	1485300	243	463	421.003401360544	0.180948560431037	0.289213790393795	1.44132152468092	1.3177023839845	0.144899055141173	0.0023462152600869	-0.0671020612340676	3.92475903513293	TRUE
setATCH237	Upstate	1/26/21 Ddia6719	38	1706462	3898	1006539	956713	158.5	463	271.177154195011	0.175044794702383	0.314669693521726	1.40863432192184	1.3177023839845	0.17360011862479	0.0606535681560615	-0.0737276118559132	4.21968644021801	TRUE
